개체1,액션1,감정1,"URL(공포,놀람,분노,슬픔,중립,행복,혐오)",,,,,,,,
"무한도전,무도,유재석,소름",깜놀,공포,https://jjalbang.today/files/jjalbox/2016/08/20160812_57adbf8028661.jpg,,,,,,,,
"짱구,사과,인사","꾸벅,죄송",,https://jjalbang.today/files/jjalbox/2021/09/20210916_61437609dc2ef.gif,,,,,,,,
"김수미,소주,술,병나발",마시,,https://jjalbang.today/files/jjalbox/2021/09/20210923_614c177dc6ccf.jpg,,,,,,,,
"짱구,침","흘리,추릅,츄릅,맛있",,https://jjalbang.today/files/jjalbox/2021/10/20211005_615c1712e1f2a.jpg,,,,,,,,
"고양이,냥이,냥 표정,동물","놀라,놀랍,깜짝",놀람,https://jjalbang.today/files/jjalbox/2015/03/89_55169e33ed706_1583.jpg,,,,,,,,
"원숭이,표정,동물","놀라,깜짝",,https://jjalbang.today/files/jjalbox/2015/03/89_55169e328f89f_1580.jpg,,,,,,,,
"고양이,냥이,냥,귀여워,동물","꾹꾹,귀엽",,https://jjalbang.today/files/jjalbox/2015/09/20150916_55f947c80a385.gif,,,,,,,,
"고양이,냥이,냥,인생,커피,여유,동물",,중립,https://jjalbang.today/files/jjalbox/2018/01/20180103_5a4c43f045949.gif,,,,,,,,
동물,자라,,https://jjalbang.today/files/jjalbox/2016/07/20160714_578770df9f683.jpg,,,,,,,,
"강아지,강쥐,썩소,동물",,,https://jjalbang.today/files/jjalbox/2015/03/95_55169fac8b94c_1954.jpg,,,,,,,,
"화난,강아지,난장판,개,지랄견,동물,강쥐",,분노,https://jjalbang.today/files/jjalbox/2015/11/20151124_5653d626235ed.gif,,,,,,,,
"강아지,놀람,깜놀,표정,동물,강쥐",놀라,놀람,https://jjalbang.today/files/jjalbox/2015/03/89_55169e2ee06aa_1588.jpg,,,,,,,,
"강아지,비글,난장판,지랄견,참사,동물,강쥐",,분노,https://jjalbang.today/files/jjalbox/2015/03/85_55169cc890ba0_1025.jpg,,,,,,,,
"고양이,냥이,냥,사랑,하트,동물",,,https://jjalbang.today/files/jjalbox/2016/07/20160725_5795ecda05b6a.jpg,,,,,,,,
"고생,강아지,청소,개,동물,강쥐",,,https://jjalbang.today/files/jjalbox/2016/07/20160714_57877e54f18aa.png,,,,,,,,
"눈치,동물",웃기,,https://jjalbang.today/files/jjalbox/2017/12/20171219_5a38fa6a26255.gif,,,,,,,,
"강아지,개,동물,멘붕,좌절,강쥐",,,https://jjalbang.today/files/jjalbox/2015/03/92_55169f01b8a30_1870.jpg,,,,,,,,
"강아지,개,동물,궁둥이,뒷모습,궁댕이,엉덩이,강쥐",,,https://jjalbang.today/files/jjalbox/2015/11/20151122_5650a2f00047a.jpg,,,,,,,,
"강아지,목욕,허세,샤워,동물,강쥐",,,https://jjalbang.today/files/jjalbox/2016/09/20160912_57d6510366c5e.png,,,,,,,,
"너구리,너굴,하이,손인사,인사,동물",,,https://jjalbang.today/files/jjalbox/2017/01/20170110_5874a351027eb.jpg,,,,,,,,
"깜놀,운전,놀람,동물",,놀람,https://jjalbang.today/files/jjalbox/2017/12/20171229_5a450edc218ed.jpg,,,,,,,,
"개,강아지,오줌,의미,귀차니즘,발사,동물,강쥐",귀찮,,https://jjalbang.today/files/jjalbox/2015/11/20151123_5652b874c7c29.gif,,,,,,,,
"고양이,냥이,냥,반응,속도,동물","귀엽,움찔,놀라,깜짝,깜짝이야",,https://jjalbang.today/files/jjalbox/2016/10/20161011_57fc965c5b936.gif,,,,,,,,
"강아지,개,동물,개편안,이불,침대,강쥐","자,자라",,https://jjalbang.today/files/jjalbox/2016/08/20160815_57b17dfd58631.jpg,,,,,,,,
"강아지,개,시바,시바견,웃음,강쥐","흐뭇,귀엽,웃",행복,https://jjalbang.today/files/jjalbox/2015/03/86_55169d234bc06_1114.gif,,,,,,,,
